20MICRONS,INDUSTRIAL MINERALS,MINING & MINERALS
TAJGVK,Hotels,Hotels
TAKE,Computers,Software
TALBROAUTO,Auto Ancl,Auto Ancl subtype Engine Parts
TALWALKARS,Misc,Miscellaneous
TANLA,NA,NA
TARAJEWELS,NA,NA
TASTYBITE,NA,NA
TATACHEM,Chemicals,Chemicals subtype Inorganic subtype Caustic Soda Soda Ash
TATACOFFEE,Tea subtype Coffee,Plantations subtype Tea & Coffee
TATACOMM,Telecom,Telecommunications subtype Service
TATAELXSI,Computers,Software
TATAGLOBAL,Tea subtype Coffee,Plantations subtype Tea & Coffee
TATAINVEST,Finance,Finance subtype Investments
TATAMETALI,Steel,Steel subtype Pig Iron
TATAMOTORS,Auto,Auto subtype LCVs HCVs
TATAMTRDVR,Auto,Auto subtype LCVs HCVs
TATAPOWER,Power,Generation Distribution
TATASPONGE,Steel,Steel subtype Sponge Iron
TATASTEEL,Steel,Steel
TBZ,NA,NA
TCI,Transport,Transport subtype Road
TCIDEVELOP,NA,NA
TCIEXP,NA,NA
TCIFINANCE,Finance,Finance subtype Investments
TCS,Computers,Software
TDPOWERSYS,NA,NA
TEAMLEASE,NA,NA
TECHM,Computers,Software
TECHNO,Electric,Equipment SwitchGare Circuit Breaker
TECHNOFAB,Computers,Project Consultancy Turnkey
TERASOFT,NA,NA
TEXINFRA,NA,NA
TEXRAIL,NA,NA
TFCILTD,Finance,Finance subtype Term Lending Institutions
TGBHOTELS,NA,NA
THANGAMAYL,Jewellery,Diamond Cutting Precious Metals Jewellery
THEMISMED,Pharmaceuticals,Pharmaceuticals
THERMAX,Misc,Pollution Control Equipment
THIRUSUGAR,Sugar,Sugar subtype Integrated
THOMASCOOK,Travel,Travel Agen.   Tourism Deve.   Amusement Park
THYROCARE,NA,NA
TI,Beverages,Beverages subtype Alcoholic subtype Distilleries
TIDEWATER,Auto Ancl,Lubricants
TIIL,Diversified,Diversified
TIL,Engineering,Heavy
TIMETECHNO,Packaging,NaN
TIMKEN,Auto Ancl,Bearings
TINPLATE,Metals,Metals subtype Non Ferrous subtype Others
TIPSINDLTD,Entertainment,Entertainment Multi Media
TIRUMALCHM,Chemicals,Chemicals subtype Organic subtype Maleic Anhydride
TITAN,Misc,Watches
TMRVL,NA,NA
TNPETRO,Consumer Goods,Detergents
TNPL,Paper,Paper subtype News Print
TOKYOPLAST,Appliances,Domestic Appliances subtype Thermoware
TORNTPHARM,Pharmaceuticals,Pharmaceuticals
TORNTPOWER,Power,Generation Distribution
TPLPLASTEH,NA,NA
TREEHOUSE,NA,NA
TRENT,Retail,Retail subtype Readymade Apparel
TRF,Engineering,Heavy
TRIDENT,Textiles,Textiles subtype Spinning subtype Cotton Blended
TRIGYN,Computers,Software
TRIL,NA,NA
TRITURBINE,NA,NA
TRIVENI,Sugar,Sugar subtype Integrated
TTKHLTCARE,NA,NA
TTKPRESTIG,Appliances,Domestic Appliances subtype Cookers
TTL,Textiles,Textiles subtype Hosiery Knitwear
TTML,Telecom,Telecommunications subtype Service
TUBEINVEST,Cycles,Cycles & Accessories
TULSI,Petrochem,Petrochem subtype Polymers
TV18BRDCST,Entertainment,Entertainment Multi Media
TVSELECT,Computers,Computers subtype Accessories Peripherals
TVSMOTOR,Auto,Auto subtype 2 & 3 Wheelers
TVSSRICHAK,Auto Ancl,Tyres & Tubes
TVTODAY,Entertainment,Entertainment Multi Media
TVVISION,NA,NA
TWL,Engineering,Heavy
UBL,NA,NA
UCALFUEL,Auto Ancl,Auto Ancl subtype Engine Parts
UCOBANK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
UFLEX,Packaging,NaN
UFO,NA,NA
UGARSUGAR,Sugar,Sugar subtype Integrated
UJAAS,NA,NA
UJJIVAN,NA,NA
ULTRACEMCO,Cement,Major
UMANGDAIRY,NA,NA
UNICHEMLAB,Pharmaceuticals,Pharmaceuticals
UNIENTER,Trading,Trading
UNIONBANK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
UNITECH,Construction,Construction & Contracting subtype Civil
UNITEDBNK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
UNITEDTEA,NA,NA
UNITY,Infrastructure,Infrastructure subtype General
UNIVCABLES,Cables,Cables subtype Power Others
UPL,NA,NA
USHAMART,Steel,Steel subtype Alloys Special
USHERAGRO,Food Processing,Food Processing subtype Miscellaneous
UTTAMSTL,Steel,Steel subtype GP GC Sheets
UTTAMSUGAR,Sugar,Sugar subtype Others
V2RETAIL,NA,NA
VADILALIND,NA,NA
VAKRANGEE,NA,NA
VALUEIND,Consumer Goods,Consumer Goods subtype White subtype Washing Mach. Refrig. Oth
VARDHACRLC,Textiles,Textiles subtype Manmade Fibre subtype Acrylic Fibre
VARDMNPOLY,Textiles,Textiles subtype Spinning subtype Cotton Blended
VASCONEQ,Construction,Construction and Contracting subtype Real Estate
VASWANI,NA,NA
VBL,NA,NA
VEDL,Metals,Metals subtype Non Ferrous subtype Others
VENKEYS,Misc,Livestock subtype Hatcheries Poultry
VENUSREM,Pharmaceuticals,Pharmaceuticals
VESUVIUS,Misc,Refractories
VETO,NA,NA
VGUARD,NA,NA
VHL,Finance,Finance subtype Investments
VICEROY,Hotels,Hotels
VIDEOIND,Consumer Goods,Consumer Goods subtype Electronic
VIDHIING,NA,NA
VIJAYABANK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
VIJSHAN,Construction,Construction & Contracting subtype Housing
VIKASECO,NA,NA
VIMTALABS,Misc,Miscellaneous
VINATIORGA,Chemicals,Chemicals subtype Organic subtype Benzene Based
VINDHYATEL,Cables,Cables subtype Telephone
VINYLINDIA,Chemicals,Chemicals subtype Organic subtype Others
VIPCLOTHNG,NA,NA
VIPIND,Plastics,Plastics subtype Moulded Luggage
VIPULLTD,NA,NA
VISAKAIND,Cement,Cement subtype Products Building Materials
VISASTEEL,Steel,Steel
VISHNU,NA,NA
VIVIDHA,NA,NA
VIVIMEDLAB,NA,NA
VLSFINANCE,Finance,Finance subtype Leasing & Hire Purchase
VMART,NA,NA
VOLTAMP,Power,Power subtype Transmission Equipment
VOLTAS,Diversified,Diversified
VRLLOG,NA,NA
VSSL,NA,NA
VSTIND,Cigarettes,Cigarettes
VSTTILLERS,NA,NA
VTL,Textiles,Textiles subtype Spinning subtype Cotton Blended
WABAG,Engineering,General
WABCOINDIA,NA,NA
WALCHANNAG,Engineering,Heavy
WEIZFOREX,NA,NA
WEIZMANIND,Textiles,Textiles subtype Processing Texturising
WELCORP,Steel,Steel subtype Tubes Pipes
WELENT,NA,NA
WELINV,NA,NA
WELSPUNIND,Textiles,Textiles subtype Terry Towels
WENDT,Grinding Wheels,Abrasives Grinding Wheels
WHEELS,NA,NA
WHIRLPOOL,Consumer Goods,Consumer Goods subtype White subtype Washing Mach. Refrig. Oth
WINDMACHIN,NA,NA
WINSOME,NA,NA
WIPRO,Computers,Software
WOCKPHARMA,Pharmaceuticals,Pharmaceuticals
WONDERLA,NA,NA
WSI,Electric,Electric Equipment subtype General
WSTCSTPAPR,Paper,Paper & Paper Boards
XCHANGING,NA,NA
XPROINDIA,Packaging,NaN
YESBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
ZANDUREALT,Construction,Construction and Contracting subtype Real Estate
ZEEL,Entertainment,Entertainment Multi Media
ZEELEARN,NA,NA
ZEEMEDIA,NA,NA
ZENSARTECH,NA,NA
ZENTEC,NA,NA
ZICOM,Electronics,Electronics subtype Others
ZODIACLOTH,Textiles,Textiles subtype Readymade Apparels
ZODJRDMKJ,Jewellery,Diamond Cutting Precious Metals Jewellery
ZUARI,NA,NA
ZUARIGLOB,NA,NA
ZYDUSWELL,Misc,Vanaspati
ZYLOG,Computers,Software
